,,,,Website,,
Country,Erasmus ID Code,University Name,Study Area(s),Erasmus Webpage,Domain,Logo URL
AUSTRIA,A KLAGENF01,UNIVERSITAET KLAGENFURT,BUSINESS MANAGEMENT,https://www.aau.at/en/international/study-abroad/erasmus/,aau.at,https://www.google.com/s2/favicons?domain=aau.at&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,A INNSBRU01,UNIVERSITY OF INNSBRUCK,ENGLISH LANGUAGE TEACHER EDUCATION,https://www.uibk.ac.at/en/international-relations-office/,uibk.ac.at,https://www.google.com/s2/favicons?domain=uibk.ac.at&sz=256
,,,PRESCHOOL TEACHER EDUCATION,,,
,,,SPECIAL EDUCATION,,,
,A KLAGENF02,PADAGOGISCHE HOCHSCHULE KARNET,PRESCHOOL TEACHER TRAINING,https://www.phk.ac.at/studium/praxis/erasmus-plus-praktika,phk.ac.at,https://www.google.com/s2/favicons?domain=phk.ac.at&sz=256
,A KREMS03,IMC FACHHOCHSCHULE KREMS GMBH,BUSINESS MANAGEMENT,https://www.imc.ac.at/en/international/studying-at-imc-krems/exchange-semester-at-imc-krems/,imc.ac.at,https://www.google.com/s2/favicons?domain=imc.ac.at&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,A KUFSTEI01,FHS KUFSTEIN TIROL BILDUNGS GMBH,INTERNATIONAL TRADE AND FINANCE,https://www.fh-kufstein.ac.at/en/international/exchange-students,fh-kufstein.ac.at,https://www.google.com/s2/favicons?domain=fh-kufstein.ac.at&sz=256
,,,ECONOMICS AND FINANCE,,,
,,,JOURNALISM,,,
,,,GRAPHIC DESIGN,,,
,,,ADVERTISEMENT,,,
,,,VISUAL COMMUNICATION DESIGN,,,
,,,SOFTWARE DEVELOPMENT,,,
,,,INTERNET AND NETWORK TECHNOLOGIES,,,
,,,INDUSTRIAL ENGINEERING,,,
,,,COMPUTER ENGINEERING,,,
,,,COMPUTER PROGRAMMING,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,BUSINESS MANAGEMENT,,,
,A SALZBUR18,PRIVATUNIVERSITAT SCHLOSS SEEBURG GMBH,BUSINESS MANAGEMENT,https://www.uni-seeburg.at/universitaet/international/,uni-seeburg.at,https://www.google.com/s2/favicons?domain=uni-seeburg.at&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,A WIEN02,TECHNISCHE UNIVERSITAET WIEN,MECHANICAL ENGINEERING,https://www.tuwien.at/en/studies/international/incoming-exchange-students/contact,tuwien.at,https://www.google.com/s2/favicons?domain=tuwien.at&sz=256
,,,ELECTRICAL AND ELECTRONICS ENGINEERING,,,
,,,INDUSTRIAL ENGINEERING,,,
,A WIEN21,FHW FACHHOCHSCHUL-STUDIENGANGE BETRIBS-UND FORSCHUNGSEİNRİCHTUNGEN DER WİENER WİRTSCHAFT GMBH ,BUSINESS MANAGEMENT,https://www.fh-wien.ac.at/en/study/international/,fh-wien.ac.at,https://www.google.com/s2/favicons?domain=fh-wien.ac.at&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
BELGIUM,B BRUXEL82,ECOLE PRATIQUE DES HAUTES ETUDES COMMERCIALES,BUSINESS MANAGEMENT,https://www.ephec.be/international,ephec.be,https://www.google.com/s2/favicons?domain=ephec.be&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,,,LAW,,,
,B GEEL07,THOMAS MORE KEMPEN VZW,ORTHOPEDIC PROSTHETICS AND ORTHOTICS,https://thomasmore.be/en/study/programme-types/exchange-programmes,thomasmore.be,https://www.google.com/s2/favicons?domain=thomasmore.be&sz=256
,B GENT39,ARTEVELDEHOGESCHOOL,BUSINESS MANAGEMENT,https://www.arteveldehogeschool.be/en/programmes/type/international-semester-programme-611,arteveldehogeschool.be,https://www.google.com/s2/favicons?domain=arteveldehogeschool.be&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,B HASSELT20,UC LIMBURG,BUSINESS MANAGEMENT,https://www.ucll.be/en/exchange-application,ucll.be,https://www.google.com/s2/favicons?domain=ucll.be&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,B HASSELT22,HOGESCHOOL PXL,BUSINESS MANAGEMENT,https://www.hogeschoolpxl.be/Pub/International/International-Students/Programmes.html,hogeschoolpxl.be,https://www.google.com/s2/favicons?domain=hogeschoolpxl.be&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
,B LEUVEN18,UC LEUVEN,BUSINESS MANAGEMENT,https://www.ucll.be/en/exchange-application,ucll.be,https://www.google.com/s2/favicons?domain=ucll.be&sz=256
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ECONOMICS AND FINANCE,,,
,,,MANAGEMENT INFORMATION SYSTEMS,,,
BULGARIA,BG ALBENA01,VISSHE UCHILISHTE PO MENIDZHMANT,BUSINESS MANAGEMENT,https://erasmusapp.eu/,erasmusapp.eu,https://www.google.com/s2/favicons?domain=erasmusapp.eu&sz=256
,,,FINANCE,,,
,,,INTERNATIONAL TRADE AND FINANCE,,,
,,,ACCOUNTING and TAX PRACTISES,,,
